INCIDENCECODE,DESCRIPTION
100528889087,creando
1007314995715,levantar
1014902821262,quiere
1017842527711,seguir
1018909157155_0,aprehendió
1018909157155_1,proporcional
1022353900726,coinciden
1024796026082_0,unidades
1024796026082_1,Defensa
1026362296318_1,Administración
1032058273483,toreo
1032523929451_0,contar
1032523929451_1,rebajado
1033769207982_1,organización compensación
1033769207982_2,Streisand
1036294620514_1,bajar
1041776938910_1,ver
1041776938910_2,palestinos reparto
1041776938910_3,Cáceres
1044626769953,Periódico
1046480399812,Jugamos
1049262507382_0,echan
1049262507382_1,gusta
1049262507382_2,Ertzaintza
1051791715381,agravado
105613796720_0,Alfonso
105613796720_1,Saviola
105613796720_2,directivo
105613796720_3,hacer
105613796720_4,falleció
105613796720_5,detuvo
1057827755372,presenta
1059063774211_1,partiendo
1063965100685,murió
1066939042652_0,pesó
1066939042652_1,dirigía corre
1068470745703,continúa
1073457361521,afanaron
1075960733328_0,Fondo
1075960733328_1,España
1075960733328_2,MADRID
1080318735722_0,amigos
1080318735722_1,partidos
108204208405,vez
1086214712990,primer
1087122983555_0,hacer
1087122983555_1,practican
1092110887512,jugar
1095579806308_0,fraude
1095579806308_1,llegar
1097176519054,demostrar
1097948578620_1,abrían
1099843598406_0,impidió
1099843598406_1,aseguró
1099883759301,provocado
1103859887039,nacional
1107134880894_0,opina
1107134880894_1,Pavón
1107134880894_2,apareció
1108943320434,coincidido
1114684862549_0,entré
1114684862549_1,fórmula
1116021803513,devolver
112217671251,Madrid
1124296186622_0,realizar
1124296186622_1,autorizar
1129622993686_0,compuso
1129622993686_1,enunciaría
1134141922165,tienen
113629196665_0,Adam
113629196665_1,desplazados
1136450319668,costado
1142204276811_0,celebrar
1142204276811_1,encontramos
1144715334968_0,dispensar
1144715334968_1,colaboran
1144801452253,aprenhendido
1145564612733,resumió
1146870990725,criminal
1150412024100_0,nombres
1150412024100_1,blanco
1153870713968,suprimir
1155430416610,vicepresidente futuro
1155698800056,Sorprendió
1157491307388,realizar
1162137020528_1,González
1162137020528_2,HB
1162667935943,llevarlo
1162780823360,sehabía
1163606094197,tiene
1172832090995_0,enfrentan
1172832090995_1,Magouras
1172985468662,vecino
1178621100870,causa
1183105029730,sentar
11851705110,favor
1192730211867_0,tenía
1192730211867_1,dinásticos
1201523482192_0,mató
1201523482192_1,Arriluzea
1201523482192_2,pareja
1205920582657_1,destacan
1205920582657_2,tienen
1205920582657_3,costado
1206549323283_1,continuaron
1209262915041_0,desarrollar
1209262915041_1,Palmas
121234162884,sindicatos
1215171839927,puesto
1216305769895,inversor».Para
122213356152_0,sean alegó
122213356152_1,competirá
1232484966560,primero
1236909075622_1,mal
1242453586796_1,inauguró
1251025306368_1,tiene
1255324969195,abultada
1255858822998,contribuir
1258203748971,protestaron
1259204070591_1,numerosas
1261385571404_0,Eloy
1261385571404_1,proceda
1265622226823,antropólogos
1270372031775,espera
1276211575150_0,Luis
1276211575150_1,tragedia
128440559388_0,Estados
128440559388_1,País
128685049804,está
1288179028437_0,muy
1288179028437_1,Real
1304617187137,diagnóstico
1306106974101,equipos
1307930313586,bronca
1311622146197_2,escritos
1311622146197_3,Estados
1311622146197_4,viene
1311622146197_5,demostrada
131449352049,defensas
1316612507478_0,cortármelo
1316612507478_1,Hizo
1316612507478_2,Uriarte
1316612507478_3,dijo
1319823649206,primera
1322658098007,llega
132426234616,crea
1325142123610,años
132582849876_0,recuperasen
132582849876_1,constantes
1327311148596_1,madridista
1343869542518,mundo
1353316669332,quiere
1357728793140,transforma
1358400875110,integrada
1365927753479,presidente
13663315097,despedirse
1366485088744,servirá
1366573901991,espera
1367986211190,coincidido
1373753233182,morirá
1375197001669,peor
1375944211751,pide
1380389416762_0,Mendieta
1380389416762_1,repertorio
1381305563333,banda
1382412420222,citó
1387918661811_1,dijeron
1388942782993,explica
1398178088884_0,fallaron
1398178088884_1,Sebastián
1405985474759,hubo intenta
1408870330759_1,pensar
1408870330759_2,años Sanidad
1409139727842,nuevo electrónico
141148153079,Jacques
1411818318686,comercial
1412177060745_1,mundo
1414101342335,ofrecido
1421852363413,Emergencia
1422439079816_0,Europa
1422439079816_1,restó
1424132422363,exista
1425666168071,llegando
1433084635272,creando
1435259886128,defensa
1438053356376_1,aumentar
1438069199560,cuesta
1439287998597,tengan
1441410703010,tiene
1452024795840,servir
1452746036184,Quiero
1453159653180,valorar
1453576199100,refugiarse
1453858771085_1,laestructura
1457583849386_1,desaparece
1457583849386_2,Prestige
1457583849386_3,pérdida
1461807253251,desapareciera
14633891728_1,quedan
1465287053674,jurídica
146709919904_0,utilizándose
146709919904_1,quedado
1467879305360_0,Nacional
1467879305360_1,lleva
1467879305360_2,Comisiones
1467879305360_3,argumenta
1471361367924,gigantesco
1471834394098,Ibiza
1472275691416,creo
1473710772375,tiene
1478369640691,Cataluña
1494135332395_1,infancia
1494430852953,costas
1495372434992,almacenar
1496627784868_1,dar
1509411071873,producción
1511389725767,caen
1513127336913,presentar
1514645864613_0,considera
1514645864613_1,valor
1515259047558,científicos aguerrido
1516918319832,suficiente
1519712680652,Ciencia
1525618083818_1,elegida
1525618083818_2,supernovas
1526687065720,Homs
1532145512835,Necesitamos
1535705070580,viven
153715402013,resultará
1540555220419_0,imputar
1540555220419_1,eliminado
1542460615750_1,hiperdesarrolladas
1543017393095,perjudicado?-En
154365400094_1,Bolsa
1550131826597_0,copago
1550131826597_1,fue
1550131826597_2,mata
1552044319847,identifica
155289721923_1,puestos
1553842532048,conoce
1557178957153,surgieron
1557424651792,atendiendo
155809696287,término
1559178613369_0,obtener
1559178613369_1,animó
1559178613369_2,aliviar
1559178613369_3,rechazado
1559190566912_0,llevan
1559190566912_1,ser
1559496925502,detenido
1559607604441,Van
157157004615_0,resultado
157157004615_1,podría
157157004615_2,lanza
1571891920618,acusa
1573405708139,hacer
1577656158578,juega
1588662751750_1,Teorema»-
1589193263802,sufrieron
159004969304_0,ser llegá
159004969304_1,tiene
159004969304_2,Segovia
1598784843827_1,oficial
1598784843827_2,Arrabal
1598784843827_3,notificada
160132769620,lugar
1602013932872,genes
1602088116489,prolonga
1602980670362,inglesa
1611436909945,marcar?-
1613996307301_1,Transportes
1623048549820,marzo
1623661837173,contado
1625727400694,saltar
1625906441600_1,incluirse
1625906441600_2,justificada
1628500326124_0,llevar
1628500326124_1,lograr
1628500326124_2,mercado
1630058727003_1,llevarlo
1631646182433,Beatriz
1634113588625,imputado
1639701386814,digo
1647303889417_1,decidido
1654870984848,aprobó
1657219194455_0,Quirós
1657219194455_1,Nacional
1666868628102_0,autopsia
1666868628102_1,entienda
1674332854591,han
1677745925123,pidieron
1679601162845,científica
1680164339287_0,programa
1680164339287_1,piratería
1693590759667_0,Educación
1693590759667_1,Cine
1693590759667_2,justificable
1693590759667_3,supo
1693590759667_4,bebiéndose
1693590759667_5,llevará
1695257194033_1,Obligatoria
1695257194033_2,supera
1695257194033_3,revalorizado enseñaba
1695257194033_4,normativas
1695779269989_1,levantado
1695779269989_2,hacer
1698595691740,llega
1701654010777,declaración
170419230106,comenta
1707067932788_1,presentó
1711694944626,escapar
1716080757161,Amrozi
1718986625566_1,quiere
1718986625566_2,ponía
1719906989782,mermada
1720060812472_1,traslada
1721312455608_1,Igor
1721312455608_2,Juan
174560728759_0,oponen
174560728759_1,llegue
174560728759_3,Mayor
174560728759_4,Israel
1750038060631_0,entrar
1750038060631_1,registrará
1752022030652_0,juego
1752022030652_1,admiran
1752360619235,precisó
1755958980464,renunciar
1760704876985,categoría
176535667557,depositados
1766695468357_0,sumergirse
1766695468357_1,doña
1766695468357_2,García
1766695468357_3,perdido
1766695468357_4,Juan
1767933871411,provocado
1769473643355_0,Justicia
1769473643355_1,Watson
178306204242,hacer
1786302265935,tienen
1786882140041_0,debatía
1786882140041_1,haber tiene
1787832694299,hacíamos
180101558480,acercaba
1808489017974,alternado
181428488044_1,venta
1814677210268,sé
1815007183737_1,tienen
1816436203504,ciudad
1817236149645,compenetre
1829737873544,desarrollaría
1838141318572_1,vídeo partidos
1838141318572_2,Nacional
1851709855082_1,registró
1853789212695_0,limitan
1853789212695_1,quedaríamos
1855792171333,lunes
1857943489038_1,OCDE
1858569290948_1,prolongarse
1860001684096,toro
1865594521880,aspiran
1867652356870,jugar
187386754087,hace
1875587152367_0,celular
1875587152367_1,lógico
1875961504063_1,peor
1877651648730_0,cáncer
1877651648730_1,diciéndonos
187776093241,aparecieron
1878430423958,separan
1881871173313,ir
1882005051184_1,Camp
1882005051184_2,dice
1882807668917,tenía
1888453632638,Reino
1891246046284_0,Alberto
1891246046284_1,CASA
1902296750648,helicóptero
1905554469090,ir
1911902345979,dijeron
1914158818100,naciera
1922182391696_1,España
1923536262974_0,sé
1923536262974_1,encarar
192909239883,podio
1929284076507,ocurrió
1929602037561,informe
1932507957968_0,Martínez
1932507957968_1,encargado
1934581205871,esenciales
1937599550383,Guthrie
1939081892149,partir
1942753300278_0,profesión
1942753300278_1,fueron
1942753300278_2,representaría
1947638668333,fracasado
1963054113968_0,Anllons
1963054113968_1,inmueble
1963756521353_1,emitirse
1965713400978,rodar
1973873969353_1,recogidas
1974036030545,recordaba
1977554143522,cargo
198346929528,Barcelona
1983779673312_0,negociar
1983779673312_1,propios
1987978823948,conclusiones
1988655604090_1,merece
1989176745858,dirhams
1989301021845_0,relegados
1989301021845_1,destino
1989301021845_2,concurso
1989301021845_3,mala
1990593234616_0,activa
1990593234616_1,francés
1993135258282_1,hacíamos
1993870836218,sabe
2003603464495_0,decía
2003603464495_1,juega
2007709017458_0,Estados
2007709017458_1,juega
2019222346348,implicará
2029596198729_0,ven
2029596198729_1,jugar
2029596198729_2,vuelve
2029596198729_3,pasado
2033827211014_1,falta
2037676362351,rectificado
2044006373970_0,Emergencias
2044006373970_1,embarcar
2045262693713,vistosas
2051374500364_0,solicitando
2051374500364_1,cuenta
2060511089099_0,intentado
2060511089099_1,medicamento
2064809836987,pierde
2066908662566_0,económicas
2066908662566_1,gobernadas
2067032898309_1,Fuentes
2067673513390,subrayando
2067781397610,gobiernan
2068926808111,alcanzada
2080004310506,económicas
2081786648386,creo
2083735973679,lidiará
2094811826348,grado
2096088870690,pretenden
2099904842544,creo
2105737998697,extendía
2108934202767_0,compilarlos
2108934202767_1,constantes
21123691405,indicado
2121242848198,mercadotecnia
2122952177531_0,asegura
2122952177531_1,mantener
213171054581,ahorrado?-No
2133091598603,recibió
2133094278117,Rafael
2136497321345,pretende
2137121195738,tuvo
2139291774205,capaz
2141277336893_1,tengan
214170168509,trabajé
2144607634635,pensado
2145736342783,perderá
2148916617493,considero
2149565602240,España
2150414544789,decidió
2150806825746,Gobierno
2153373131472,miembros
215542268020_1,auguró
2155572821947_0,lesioné
2155572821947_1,informe
2155572821947_2,quedarme
2155572821947_3,juega
2165232207950_0,evento
2165232207950_1,ampliar
2165372467473_1,imaginación.-¿Por
2165523236990,creo
2165647009705,cumplir
2166326898462_1,resistir
2166852055750,años
217218275191_0,recibido
217218275191_1,puesto
2173900465664_0,sobrevivir
2173900465664_1,cayó
2173900465664_2,jugadores.-
2175714639168_0,iniciarse
2175714639168_1,pasado
2176555988725,escuchado
2193902212368_1,suicida
2196796624891_0,Pavón
2196796624891_1,Historia
2198978346547,observado
219966756439,añadió
2203859470549,memoria
2204207080716,diré
2208517959648_0,superado
2208517959648_1,persigan estrelló
2208517959648_2,Ronaldo
2210362861323_1,romper
2211222752329,señaló
2218192439667,detalle
2218667539753,consecuencias
2222497037125,tiene
2223704259892,hacía
2224146725319,ingresado
222615081477,incendiadas
2229690230473,poner
2229997446628_1,UGT
2229997446628_2,Gaal
2233546997515,informó entrenó
2239282618897_1,protagoniza
2239957854547,incluir
2248442597446,pretendido
2249430766393,retornos
2259523388958,chillando
2264659521413_1,Arnés
2269120217343,ceutíes
2270638957441,madridista
2274807444032_1,apresados
2280306934632,pidió
2284201139544,sido
2284884864294_0,estado
2284884864294_1,compensar
2285044415876_0,Reiziger
2285044415876_1,preguntas.-Usted
228558667949_0,visto
228558667949_1,obsesiona
228558667949_2,tener
228558667949_3,durará
2290023863575_1,tengan
2290962937905,buscar
2292937122923_0,revelan
2292937122923_1,refería
2295963054470_1,palestino
2296233712603,Deferr
2299327033296,inmueble
2303485873123,orbita
2306140704708,crisis
2308697884717_1,costado
2308956536644_0,Don
2308956536644_1,escogerán
2314867731396_1,resolver
2316118487694_1,recibir
2320199414566,momento
2321020831829_1,tratara
2323577393061_0,pensado
2323577393061_1,incluidos
2327626483688,argumentó
2332019095871_1,buscar
2332019095871_2,Pensábamos
2332019095871_3,RODRIGO
2338209718391_1,Surgen
2338209718391_2,caída Martínez
